payload,label,type
"start_temp_report,abc",benign,temp
"run_cmd,SUB -71 X",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,echo user `whoami`",malicious,cmdi
"echo,hello world",benign,echo
"run_cmd,SUB 12 -58 95",malicious,cmd_parse_error
"start_temp_report,-3",malicious,temp_error
"run_cmd,SUB -84 NaN",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,ADD 82 -41 49",malicious,cmd_parse_error
"run_cmd,ADD 913 986",benign,math
"run_cmd,SUB 210 223",benign,math
"run_cmd,SUB 9 1.5",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,SUB 72 X",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,echo abc123",benign,echo
"echo,value > /tmp/leak",malicious,cmdi
"run_cmd,echo device ready",benign,echo
"eco,ADD -32 -50",malicious,cmd_parse_error
"echo,value > /tmp/leak",malicious,cmdi
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD -37 abc",malicious,cmd_parse_error
"run_cmd,ADD -31 44 -84",malicious,cmd_parse_error
"run_cmd,ADD -802 660",benign,math
"run_cmd,echo abc123",benign,echo
"run_cmd,ADD 58 NaN",malicious,cmd_parse_error
"run_cmd,ADDd 37 -29",malicious,cmd_parse_error
"echo,abc123",benign,echo
"echo,temperature normal",benign,echo
"start_temp_report,-3",malicious,temp_error
"run_cmd,ADD -154 -251",benign,math
"run_cmd,ADD -95 -7 -71",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,ADD 246 985",benign,math
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -6 67 0",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD 41 -259",benign,math
"run_cmd,ADD 12 -465",benign,math
"run_cmd,SUB -29 29 15",malicious,cmd_parse_error
"run_cmd,ADD 69 -58 -55",malicious,cmd_parse_error
"run_cmd,SUB 84 1.5",malicious,cmd_parse_error
"echo,hello world",benign,echo
"run_cmd,ADD 548 255",benign,math
"run_cmd,SUB 39 -85 92",malicious,cmd_parse_error
"run_cmd,SUB -33 -96 -14",malicious,cmd_parse_error
"start_temp_report,0",malicious,temp_error
"echo,done",benign,echo
"run_cmd,SU 1 29",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run_cmd,SUB 95 2 -93",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD -71 -5 26",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SUBB 69 90",malicious,cmd_parse_error
"run_cmd,SUB -406 860",benign,math
"run_cmd,ADD 74 68 98",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,ADD -96 1.5",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,ADD 67 43 30",malicious,cmd_parse_error
"echo,hello world",benign,echo
"run_cmd,ADD 496 623",benign,math
"start_temp_report,NaN",malicious,temp_error
"start_temp_report,5",benign,temp
"run_cmd,ADDd 51 23",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,echo temperature normal",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run,ADD 20 -28",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"run_cmd,ADD 97 1.5",malicious,cmd_parse_error
"run_cmd,SUB -27 1.5",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"echo,abc123",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,SUB 414 745",benign,math
"start_temp_report,1",benign,temp
"start_temp_report,xyz",benign,temp
"run_cmd,ADD -121 619",benign,math
"start_temp_report,5",benign,temp
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,ADD -60 NaN",malicious,cmd_parse_error
"run_cmd,ADD -73 -28 -53",malicious,cmd_parse_error
"run_cmd,SUB -377 -970",benign,math
"run_cmd,echo abc123",benign,echo
"start_temp_report,5",benign,temp
"echo,device ready",benign,echo
"run_cmd,SUB -519 -142",benign,math
"start_temp_report,10",benign,temp
"start_temp_report,5",benign,temp
"run_cmd,ADD 84 NaN",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"start_temp_report,1",benign,temp
"run_cmd,ADD 15 abc",malicious,cmd_parse_error
"run_cmd,SUB -99 abc",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"echo,<script>alert(1)</script>",malicious,cmdi
"start_temp_report,5",benign,temp
"run_cmd,echo abc123",benign,echo
"ech,ADD 3 -45",malicious,cmd_parse_error
"echo,value > /tmp/leak",malicious,cmdi
"echo,temperature normal",benign,echo
"run_cmd,SUB 889 -646",benign,math
"run_cmd,ADD -82 -11 -53",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,SU -51 47",malicious,cmd_parse_error
"run_cmd,SUB 332 -912",benign,math
"echo,name=$USER; id",malicious,cmdi
"run_cmd,SUB -64 NaN",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,SUB 63 X",malicious,cmd_parse_error
"run_cmd,ADD -631 -766",benign,math
"run_cmd,SUB -94 1.5",malicious,cmd_parse_error
"start_temp_report,NaN",malicious,temp_error
"run_cmd,SUB 45 NaN",malicious,cmd_parse_error
"run_cmd,ADD -15 -97 37",malicious,cmd_parse_error
"runcmd,ADD 19 0",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,echo ok && echo hacked",malicious,cmdi
"runcmd,ADD -20 38",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD -78 15 -74",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run,ADD -41 37",malicious,cmd_parse_error
"run_cmd,ADD 389 -837",benign,math
"run_cmd,SUB -97 1.5",malicious,cmd_parse_error
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"echo,abc123",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,SUB 21 NaN",malicious,cmd_parse_error
"ech,ADD -9 -43",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD 31 -73 87",malicious,cmd_parse_error
"echo,system ok",benign,echo
"run_cmd,SUB 12 0 66",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,ADD 53 -51 -85",malicious,cmd_parse_error
"run_cmd,SUB 350 705",benign,math
"run_cmd,echo device ready",benign,echo
"run_cmd,SUB 2 abc",malicious,cmd_parse_error
"runcmd,ADD -38 -37",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,SUB 529 237",benign,math
"run_cmd,SUM -93 74",malicious,cmd_parse_error
"run_cmd,SUB 305 42",benign,math
"run_cmd,ADD 11 abc",malicious,cmd_parse_error
"run_cmd,ADD -56 1.5",malicious,cmd_parse_error
"start_temp_report,10",benign,temp
"run_cmd,PLUS -59 -77",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"echo,hello world",benign,echo
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"run_cmd,SUB -45 75 78",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,SUB -46 -47 39",malicious,cmd_parse_error
"runcmd,ADD -17 -34",malicious,cmd_parse_error
"run_cmd,SUB 97 -50 66",malicious,cmd_parse_error
"run_cmd,SUB 972 889",benign,math
"run_cmd,ADD 756 -422",benign,math
"echo,system ok",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,echo system ok",benign,echo
"start_temp_report,NaN",malicious,temp_error
"echo,abc123",benign,echo
"run_cmd,SUB -85 NaN",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"runcmd,ADD -11 42",malicious,cmd_parse_error
"run_cmd,PLUS -55 -54",malicious,cmd_parse_error
"run_cmd,ADDd -80 -40",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,SUBB -78 -83",malicious,cmd_parse_error
"echo,device ready",benign,echo
"echo,<script>alert(1)</script>",malicious,cmdi
"echo,done",benign,echo
"echo,value > /tmp/leak",malicious,cmdi
"start_temp_report,NaN",malicious,temp_error
"run_cmd,ADD -842 98",benign,math
"echo,done",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,ADD -58 30",benign,math
"run_cmd,ADD 70 -33 94",malicious,cmd_parse_error
"runcmd,ADD 43 16",malicious,cmd_parse_error
"echo,system ok",benign,echo
"echo,hello world",benign,echo
"run_cmd,ADD -316 553",benign,math
"run_cmd,echo done",benign,echo
"echo,temperature normal",benign,echo
"eco,ADD -43 -12",malicious,cmd_parse_error
"start_temp_report,0",malicious,temp_error
"echo,system ok",benign,echo
"run_cmd,ADD -985 -38",benign,math
"echo,temperature normal",benign,echo
"start_temp_report,-1",malicious,temp_error
"start_temp_report,1.5",malicious,temp_error
"run_cmd,echo device ready",benign,echo
"start_temp_report,1.5",malicious,temp_error
"run_cmd,ADD -52 abc",malicious,cmd_parse_error
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,SUM 12 -84",malicious,cmd_parse_error
"run_cmd,ADD 12 1.5",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,ADDd -34 -47",malicious,cmd_parse_error
"run_cmd,ADD -18 abc",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"ech,ADD 19 18",malicious,cmd_parse_error
"runcmd,ADD 31 -38",malicious,cmd_parse_error
"run,ADD -48 9",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB -30 -9 -61",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -384 4",benign,math
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD -49 50 3",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,ADD -65 -14 31",malicious,cmd_parse_error
"run_cmd,ADD -45 16 96",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,SUB -494 -399",benign,math
"run_cmd,SUB 14 1.5",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,SUB 145 -595",benign,math
"start_temp_report,60",benign,temp
"run_cmd,echo hello world",benign,echo
"run_cmd,ADD 249 331",benign,math
"run_cmd,SUB -857 -707",benign,math
"run_cmd,ADD 87 NaN",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB 84 11 44",malicious,cmd_parse_error
"run_cmd,SUB 42 -88 -17",malicious,cmd_parse_error
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,SUB 655 -748",benign,math
"echo,abc123",benign,echo
"run_cmd,ADD 903 -348",benign,math
"run_cmd,echo hello world",benign,echo
"start_temp_report,10",benign,temp
"run_cmd,ADD -70 -26 -96",malicious,cmd_parse_error
"run_cmd,SUB -37 21 -90",malicious,cmd_parse_error
"run_cmd,SUB 39 X",malicious,cmd_parse_error
"run_cmd,SUB 38 1.5",malicious,cmd_parse_error
"run_cmd,ADD 4 24 75",malicious,cmd_parse_error
"rn_cmd,ADD 2 19",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,ADD 87 -5 -83",malicious,cmd_parse_error
"start_temp_report,abc",benign,temp
"run_cmd,echo done",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,ADD -198 -305",benign,math
"run_cmd,ADD 57 -67 -61",malicious,cmd_parse_error
"run_cmd,SUB 0 abc",malicious,cmd_parse_error
"run_cmd,SUB 769 -25",benign,math
"run_cmd,ADD -53 24 27",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SU -32 -25",malicious,cmd_parse_error
"start_temp_report,5",benign,temp
"run_cmd,SUB -52 61",benign,math
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,ADD 884 523",benign,math
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,ADD 566 -807",benign,math
"run_cmd,echo abc123",benign,echo
"echo,abc123",benign,echo
"run_cmd,echo abc123",benign,echo
"start_temp_report,xyz",benign,temp
"start_temp_report,-3",malicious,temp_error
"run_cmd,ADD -468 -359",benign,math
"start_temp_report,-3",malicious,temp_error
"start_temp_report,60",benign,temp
"ech,ADD -7 -28",malicious,cmd_parse_error
"run_cmd,ADD -692 -296",benign,math
"run_cmd,SUBB -84 -70",malicious,cmd_parse_error
"run_cmd,SUM 84 56",malicious,cmd_parse_error
"run_cmd,ADD -89 NaN",malicious,cmd_parse_error
"run,ADD 40 28",malicious,cmd_parse_error
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,echo system ok",benign,echo
"start_temp_report,5",benign,temp
"run_cmd,AD 23 -35",malicious,cmd_parse_error
"run_cmd,ADD 35 -93 16",malicious,cmd_parse_error
"run_cmd,ADD -458 302",benign,math
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,SUB 876 -418",benign,math
"runcmd,ADD 22 -39",malicious,cmd_parse_error
"run_cmd,ADD 835 -691",benign,math
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,SUB -15 -96 -99",malicious,cmd_parse_error
"run_cmd,ADD 44 -77 87",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"echo,system ok",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,ADD -77 NaN",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,SUB 93 -281",benign,math
"echo,done",benign,echo
"run_cmd,ADD 13 1 85",malicious,cmd_parse_error
"run,ADD -11 50",malicious,cmd_parse_error
"run_cmd,SUB -692 528",benign,math
"run_cmd,ADD -43 -42 -18",malicious,cmd_parse_error
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,SUB 327 835",benign,math
"start_temp_report,1.5",malicious,temp_error
"start_temp_report,xyz",benign,temp
"echo,value > /tmp/leak",malicious,cmdi
"run_cmd,echo device ready",benign,echo
"run_cmd,ADDd 48 48",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,ADD 97 -87 -12",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SUB 50 61 42",malicious,cmd_parse_error
"run_cmd,SUBB -100 -7",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"echo,abc123",benign,echo
"run_cmd,ADD -732 922",benign,math
"run_cmd,SUB -84 NaN",malicious,cmd_parse_error
"runcmd,ADD 18 -17",malicious,cmd_parse_error
"run_cmd,SUB -87 abc",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,echo hello world",benign,echo
"start_temp_report,1",benign,temp
"start_temp_report,5",benign,temp
"run_cmd,ADD -711 -406",benign,math
"run_cmd,SUB 66 -14 -19",malicious,cmd_parse_error
"echo,done",benign,echo
"start_temp_report,10",benign,temp
"echo,system ok",benign,echo
"run_cmd,echo hello world",benign,echo
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -652 -518",benign,math
"run_cmd,SUB -98 -57",benign,math
"run_cmd,SUB -60 -52 -82",malicious,cmd_parse_error
"run_cmd,ADDd 9 30",malicious,cmd_parse_error
"run_cmd,ADD -16 -50 -26",malicious,cmd_parse_error
"eco,ADD -48 42",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"start_temp_report,xyz",benign,temp
"run_cmd,ADD -571 -685",benign,math
"start_temp_report,xyz",benign,temp
"run_cmd,SUM -91 92",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,echo done",benign,echo
"run_cmd,SUB 7 77 49",malicious,cmd_parse_error
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,SUB 23 abc",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"echo,device ready",benign,echo
"start_temp_report,-1",malicious,temp_error
"echo,done",benign,echo
"start_temp_report,0",malicious,temp_error
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"start_temp_report,abc",malicious,temp_error
"echo,hi && shutdown now",malicious,cmdi
"start_temp_report,xyz",benign,temp
"run,ADD 37 42",malicious,cmd_parse_error
"run_cmd,AD 80 -81",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD 68 -100 -8",malicious,cmd_parse_error
"run_cmd,SUM -48 -60",malicious,cmd_parse_error
"run_cmd,ADD 711 -385",benign,math
"start_temp_report,60",benign,temp
"run_cmd,SUB -40 NaN",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,echo device ready",benign,echo
"run_cmd,SUB 86 -12 84",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD -396 -815",benign,math
"echo,temperature normal",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -165 430",benign,math
"run_cmd,ADD -847 -918",benign,math
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,ADD 85 1.5",malicious,cmd_parse_error
"run_cmd,ADD -960 717",benign,math
"run_cmd,echo device ready",benign,echo
"run_cmd,SUB 47 -34 85",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"run_cmd,SUB -28 -584",benign,math
"run_cmd,SUB 736 -258",benign,math
"run_cmd,SUB 45 1.5",malicious,cmd_parse_error
"run_cmd,SUB 40 -14",benign,math
"run_cmd,ADD 85 -72 -84",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,echo device ready",benign,echo
"eco,ADD 29 1",malicious,cmd_parse_error
"run,ADD 8 15",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"start_temp_report,1",benign,temp
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"run_cmd,SU 31 -92",malicious,cmd_parse_error
"run_cmd,SUB -55 -30 23",malicious,cmd_parse_error
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"rn_cmd,ADD -32 13",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD 544 -816",benign,math
"run_cmd,SUB -306 632",benign,math
"run_cmd,echo temperature normal",benign,echo
"start_temp_report,1",benign,temp
"start_temp_report,-1",malicious,temp_error
"echo,done",benign,echo
"run_cmd,ADDd 65 7",malicious,cmd_parse_error
"run_cmd,ADD 493 -738",benign,math
"run_cmd,SUB 110 636",benign,math
"run_cmd,AD -9 -22",malicious,cmd_parse_error
"run_cmd,SUB -92 1.5",malicious,cmd_parse_error
"start_temp_report,1",benign,temp
"run_cmd,SUB 89 -78 -87",malicious,cmd_parse_error
"run_cmd,SUB -33 83",benign,math
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"echo,temperature normal",benign,echo
"run_cmd,SUB 679 155",benign,math
"run_cmd,echo hello world",benign,echo
"start_temp_report,5",benign,temp
"echo,device ready",benign,echo
"run_cmd,SUB -59 54 69",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,echo abc123",benign,echo
"run_cmd,ADD -991 -583",benign,math
"run_cmd,ADD -597 69",benign,math
"run_cmd,echo device ready",benign,echo
"run_cmd,echo system ok",benign,echo
"start_temp_report,-1",malicious,temp_error
"start_temp_report,5",benign,temp
"echo,system ok",benign,echo
"run_cmd,ADD -223 189",benign,math
"run_cmd,SUB -66 1.5",malicious,cmd_parse_error
"run_cmd,ADD -233 -345",benign,math
"run_cmd,ADD -86 85 -46",malicious,cmd_parse_error
"start_temp_report,5",benign,temp
"run_cmd,SUB -24 99 70",malicious,cmd_parse_error
"run_cmd,SUB -988 962",benign,math
"run_cmd,echo hello world",benign,echo
"run_cmd,SUB 153 38",benign,math
"echo,done",benign,echo
"run_cmd,SUB -17 81 -21",malicious,cmd_parse_error
"run_cmd,ADD -29 -49 -96",malicious,cmd_parse_error
"run_cmd,SUB -100 X",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"eco,ADD -15 -18",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,SUB 334 -116",benign,math
"echo,system ok",benign,echo
"start_temp_report,60",benign,temp
"echo,temperature normal",benign,echo
"echo,abc123",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,SUB 269 883",benign,math
"run_cmd,SUB -36 23 51",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run_cmd,ADD 53 69 -62",malicious,cmd_parse_error
"run_cmd,SUB 37 -9 -45",malicious,cmd_parse_error
"run_cmd,PLUS -50 -96",malicious,cmd_parse_error
"run_cmd,ADD 32 -100 -68",malicious,cmd_parse_error
"run_cmd,SUB -77 -16 2",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,ADD 43 54 82",malicious,cmd_parse_error
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"echo,abc123",benign,echo
"run_cmd,SUB 7 abc",malicious,cmd_parse_error
"run_cmd,SUB -636 516",benign,math
"run_cmd,SUB 35 abc",malicious,cmd_parse_error
"ech,ADD -27 35",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD -25 -34 58",malicious,cmd_parse_error
"echo,device ready",benign,echo
"start_temp_report,60",benign,temp
"echo,hello world",benign,echo
"start_temp_report,60",benign,temp
"start_temp_report,10",benign,temp
"run_cmd,SUB -297 -279",benign,math
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,ADD 673 685",benign,math
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD 11 NaN",malicious,cmd_parse_error
"run_cmd,SUB 928 941",benign,math
"start_temp_report,NaN",malicious,temp_error
"start_temp_report,NaN",malicious,temp_error
"echo,done",benign,echo
"run_cmd,echo hello world",benign,echo
"run_cmd,AD 31 86",malicious,cmd_parse_error
"run_cmd,SUB -926 -217",benign,math
"run_cmd,echo hello world",benign,echo
"rn_cmd,ADD -15 19",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,SUB 255 698",benign,math
"start_temp_report,5",benign,temp
"start_temp_report,60",benign,temp
"run_cmd,ADD -84 -85 53",malicious,cmd_parse_error
"run_cmd,AD 2 56",malicious,cmd_parse_error
"run_cmd,SUB -76 42 57",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,echo temperature normal",benign,echo
"rn_cmd,ADD 21 32",malicious,cmd_parse_error
"start_temp_report,-3",malicious,temp_error
"run_cmd,ADD 88 NaN",malicious,cmd_parse_error
"echo,system ok",benign,echo
"echo,device ready",benign,echo
"run_cmd,SUB -730 -208",benign,math
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB -558 775",benign,math
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,ADD -93 22 81",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,SUB 60 79 -98",malicious,cmd_parse_error
"start_temp_report,-3",malicious,temp_error
"echo,device ready",benign,echo
"run_cmd,SUB 354 525",benign,math
"run_cmd,SUBB 84 -83",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,echo device ready",benign,echo
"start_temp_report,1.5",malicious,temp_error
"run_cmd,SUB -58 47 21",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,ADD -45 abc",malicious,cmd_parse_error
"run_cmd,SUBB 9 65",malicious,cmd_parse_error
"echo,system ok",benign,echo
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,SUB 108 520",benign,math
"run_cmd,SUB -379 -183",benign,math
"run_cmd,ADD 61 -100 -17",malicious,cmd_parse_error
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"run_cmd,echo system ok",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run,ADD -2 37",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,ADD -353 346",benign,math
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,SUB -852 -244",benign,math
"run_cmd,SUB 67 46 -58",malicious,cmd_parse_error
"echo,name=$USER; id",malicious,cmdi
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"eco,ADD -19 4",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,ADD 984 -809",benign,math
"run_cmd,AD 26 -92",malicious,cmd_parse_error
"run_cmd,ADD 6 NaN",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"start_temp_report,abc",malicious,temp_error
"run_cmd,ADD -212 582",benign,math
"run_cmd,SUB 39 68 81",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,SUB 38 46 45",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,ADD -14 1.5",malicious,cmd_parse_error
"run_cmd,SU -76 90",malicious,cmd_parse_error
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"echo,temperature normal",benign,echo
"run_cmd,echo abc123",benign,echo
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD -11 170",benign,math
"run_cmd,echo hello world",benign,echo
"run_cmd,echo hello world",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,SUB 22 -44 99",malicious,cmd_parse_error
"run_cmd,AD 46 -30",malicious,cmd_parse_error
"run_cmd,SUB 71 X",malicious,cmd_parse_error
"run_cmd,ADD -24 -65 -89",malicious,cmd_parse_error
"run_cmd,SUB 889 595",benign,math
"run_cmd,echo abc123",benign,echo
"run_cmd,SUB -25 X",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,ADD 53 43 -42",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"start_temp_report,xyz",benign,temp
"echo,done",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"echo,<script>alert(1)</script>",malicious,cmdi
"start_temp_report,1.5",malicious,temp_error
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"start_temp_report,10",benign,temp
"start_temp_report,NaN",malicious,temp_error
"run_cmd,SUB -554 636",benign,math
"run_cmd,ADD -550 840",benign,math
"run_cmd,echo temperature normal",benign,echo
"echo,hello world",benign,echo
"start_temp_report,abc",benign,temp
"run_cmd,SUB -60 39 29",malicious,cmd_parse_error
"run_cmd,SUB -22 -96 98",malicious,cmd_parse_error
"echo,hello world",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,ADDd -16 10",malicious,cmd_parse_error
"run,ADD 30 -32",malicious,cmd_parse_error
"run_cmd,SUB 91 abc",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,PLUS 47 46",malicious,cmd_parse_error
"run_cmd,ADD -48 10 44",malicious,cmd_parse_error
"run_cmd,SUB 58 abc",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,echo done",benign,echo
"start_temp_report,abc",benign,temp
"run_cmd,ADD -333 -534",benign,math
"run_cmd,echo done",benign,echo
"run_cmd,echo hello world",benign,echo
"echo,done",benign,echo
"run_cmd,SUB 97 -87 -12",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"start_temp_report,10",benign,temp
"run_cmd,echo system ok",benign,echo
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"eco,ADD 18 -8",malicious,cmd_parse_error
"run_cmd,ADDd 57 -61",malicious,cmd_parse_error
"start_temp_report,1",benign,temp
"ech,ADD 23 45",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"echo,value > /tmp/leak",malicious,cmdi
